lot_id,decade,card_count,mid_total,avg_mid,notes
LOT-1950,1950s,2,7.99,4.00,"Vintage Topps 1950s bundle"
LOT-1960,1960s,102,737.88,7.23,"Vintage Topps 1960s bundle"
LOT-1970,1970s,371,1312.82,3.54,"Vintage Topps 1970s bundle"
LOT-1980,1980s,21,31.96,1.52,"Vintage Topps 1980s bundle"
LOT-2000,2000s,1,1.24,1.24,"Vintage Topps 2000s bundle"
